time_s,Fz_N,az_force_sign_m_s2,Q_at_calibration_mass,weak,strong
1.059179999999999983e-01,-3.066083450616705619e-01,-1.390001269951666452e-01,1.303305554411830158e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.098139999999999949e-01,-2.738566619023394821e-01,-2.630940875116663871e-02,2.585574525262674506e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.137510000000000049e-01,-2.616943508906128812e-01,-1.198180427751666527e-01,9.356677813868412574e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.177249999999999963e-01,-3.106415334522338867e-01,-1.198180427751666527e-01,1.646012887168797789e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.216259999999999980e-01,-2.322267316880743948e-01,-7.128011990666638202e-03,2.116509458835445834e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.255689999999999862e-01,-2.861712749275291401e-01,-1.222162943451666484e-01,1.233735357549990308e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.295709999999999917e-01,-2.004231633957367364e-01,-1.222162943451666484e-01,3.110605468239080462e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.335109999999999908e-01,-2.598030155518955553e-01,-5.508135657916664318e-02,1.807253299217054465e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.374440000000000106e-01,-3.916359311351893524e-01,-5.508135657916664318e-02,4.816096250521489708e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.413689999999999947e-01,-2.227857299140580949e-01,2.404169636483336273e-02,2.500663295923887919e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.452930000000000055e-01,-4.009062746353979634e-01,-3.092337588101666257e-01,5.273886784415553475e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.492719999999999880e-01,-3.283629152620228808e-01,-3.092337588101666257e-01,6.675364807699031566e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.531990000000000018e-01,-2.874167665070146427e-01,9.655624242333359780e-03,3.654481243443867378e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.570940000000000114e-01,-4.652983218176878211e-01,-1.413973964801666372e-01,4.625237752221400100e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.610650000000000137e-01,-2.798489667855648122e-01,-1.413973964801666372e-01,9.113242057140774621e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.649980000000000058e-01,-4.155548256752368275e-01,-1.006369406401666361e-01,4.305245709450965741e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.689370000000000038e-01,-3.215515949171265930e-01,1.684861119933336177e-02,4.730893520483656189e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.728609999999999869e-01,-2.835277369391864255e-01,1.684861119933336177e-02,3.724272880407388797e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.767620000000000025e-01,-4.083700410065294051e-01,-2.253155776451666314e-01,1.635641993007335593e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.806969999999999965e-01,-1.252596756713213466e-01,2.462637285333357795e-03,6.767269020869732810e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.846490000000000076e-01,-3.463971646949755012e-01,2.462637285333357795e-03,5.057093792171324154e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.885290000000000021e-01,-2.834058752601436026e-01,6.497496633335891772e-05,3.342086096911462079e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.924990000000000034e-01,-2.614726729080150136e-01,-2.636787640001666544e-01,1.017759861852581341e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.964410000000000045e-01,-4.591947785502732415e-01,-2.636787640001666544e-01,1.893478697037680236e+00,0.000000000000000000e+00,0.000000000000000000e+00
