time_s,Fz_N,az_force_sign_m_s2,Q_at_calibration_mass,weak,strong
5.294115999999999822e+00,1.614683858497105717e-01,1.223460478608333624e-01,9.346468970869872828e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.298046000000000255e+00,1.779589189287325013e-01,1.367320217748333455e-01,1.059978175577572790e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.301947000000000187e+00,1.861055027796449934e-01,1.367320217748333455e-01,1.429688104836582818e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.305867000000000111e+00,1.868108588411754312e-01,1.367320217748333455e-01,1.464295652899903766e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.309787000000000035e+00,2.022341437039418821e-01,2.014691008048334064e-01,8.628053796858865462e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.313709000000000238e+00,2.144273378407657304e-01,1.487203333698333685e-01,2.388123077755830437e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.317628000000000021e+00,1.889545080405792277e-01,1.487203333698333685e-01,1.052382113241342870e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.321562000000000126e+00,1.841484793682806043e-01,1.127553985848333551e-01,2.597473593802743230e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.325491999999999670e+00,1.365840186892945951e-01,1.319367953453333686e-01,7.668384889493810516e-03,1.000000000000000000e+00,0.000000000000000000e+00
5.329423000000000243e+00,2.135431138774297466e-01,1.319367953453333686e-01,3.409338397889646322e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.333351999999999649e+00,2.350642179895228168e-01,2.038663702898333707e-01,8.421702904063317618e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.337285999999999753e+00,2.536777972202362008e-01,2.158546818848333382e-01,1.143543010805826016e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.341168999999999834e+00,2.802873659672773243e-01,2.158546818848333382e-01,2.598696063666989242e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.345093000000000316e+00,2.888930839186567567e-01,2.182529334548333477e-01,3.034405340457725364e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.349025000000000141e+00,3.059623089277252461e-01,2.182529334548333477e-01,4.368384367511340405e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.352949999999999875e+00,2.816223648880171737e-01,2.518205987548333691e-01,9.128433441742553334e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.356859000000000037e+00,2.579091378473599150e-01,2.542178682398333889e-01,1.816759128953962174e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.360780000000000101e+00,2.326846332144327789e-01,2.542178682398333889e-01,7.779165937742916950e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.364746000000000237e+00,2.299183691694857146e-01,1.655041660198333930e-01,2.378257894852357779e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.368632999999999988e+00,2.471522626422260061e-01,1.966735797498333493e-01,1.692565043586000406e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.372555000000000192e+00,2.155212882666983631e-01,1.966735797498333493e-01,4.302009505781860532e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.376529999999999809e+00,2.033282236772695484e-01,1.463230638848333487e-01,1.862074427868142257e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.380377000000000187e+00,2.393872074718590426e-01,1.966735797498333493e-01,1.305589422060184634e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.384285000000000210e+00,2.177466711624251872e-01,1.966735797498333493e-01,4.917964595269364025e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.388190999999999953e+00,2.156358780844804812e-01,1.894807892098333557e-01,6.320179621611737852e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.392142999999999908e+00,1.739977888946597773e-01,7.679036559133337048e-02,4.361751984885245959e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.396014000000000088e+00,1.776205808367645744e-01,7.679036559133337048e-02,4.675821563676818005e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.399905999999999651e+00,1.518389663174009030e-01,7.679036559133337048e-02,2.678357535985232407e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.403880000000000017e+00,1.809911208177439335e-01,1.007670869898333599e-01,3.151399712149801635e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.407778000000000418e+00,1.254879105253028371e-01,1.007670869898333599e-01,4.138006746260226160e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.411702000000000012e+00,6.191726329282509766e-02,7.199504095333335296e-02,1.126517277338132767e-03,1.000000000000000000e+00,0.000000000000000000e+00
5.415706000000000131e+00,8.704581295072166824e-02,1.223460478608333624e-01,3.036220690680619880e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.419620000000000104e+00,1.342519502876200477e-01,1.223460478608333624e-01,1.695078748090112636e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.423512999999999806e+00,1.269453228696075797e-01,1.367320217748333455e-01,1.172933105857243618e-05,1.000000000000000000e+00,0.000000000000000000e+00
5.427445999999999771e+00,1.264852971148471283e-01,1.391302733448333551e-01,4.331180080111029260e-04,1.000000000000000000e+00,0.000000000000000000e+00
5.431376000000000204e+00,1.326100687545022083e-01,1.391302733448333551e-01,3.492603473727949170e-04,1.000000000000000000e+00,0.000000000000000000e+00
5.435285999999999618e+00,1.624738553587725676e-01,6.480205399633336139e-02,4.332231184870506402e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.439237999999999573e+00,1.926973513832486162e-01,1.127553985848333551e-01,3.189851545969397684e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.443116999999999983e+00,1.682297721033219062e-01,1.127553985848333551e-01,1.656416102285492575e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.447017999999999915e+00,1.225282101107438848e-01,6.000672935833335775e-02,1.843940586217023836e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.450935999999999559e+00,1.412344106831309176e-01,8.158569022933334636e-02,1.766560802902255312e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.454874000000000223e+00,1.502470773485136135e-01,8.158569022933334636e-02,2.288947015724605571e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.458768000000000065e+00,1.662322840306096339e-01,6.480205399633336139e-02,4.657186211902023532e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.462697999999999610e+00,1.117431107230792975e-01,6.480205399633336139e-02,1.095763381682527543e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.466648000000000174e+00,1.344993109691134947e-01,1.247437101798333642e-01,1.377669035779965565e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.470552999999999777e+00,1.760119097802412824e-01,1.175507232228333726e-01,1.834811368608453286e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.474483000000000210e+00,1.452095802109081291e-01,1.175507232228333726e-01,5.276025317378889995e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.478394999999999904e+00,2.370476402074181976e-01,1.127553985848333551e-01,7.238818231490721233e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.482306000000000346e+00,1.945140815878332319e-01,1.511185849398333503e-01,1.196049146553384290e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.486215999999999759e+00,1.576638505449690086e-01,1.511185849398333503e-01,1.170382357793739968e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.490154999999999674e+00,1.777093890530725417e-01,1.583113754798333717e-01,3.771926747560641613e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.494078000000000017e+00,1.608446332144328750e-01,5.760906703933335593e-02,4.773962002549866357e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.497968000000000188e+00,1.570833631516297402e-01,5.760906703933335593e-02,4.444640643109644129e-01,1.000000000000000000e+00,0.000000000000000000e+00
