time_s,Fz_N,az_force_sign_m_s2,Q_at_calibration_mass,weak,strong
1.234664999999999901e+00,-3.860056598416073292e+00,-4.133519888890166527e+00,1.673257246229329720e-03,0.000000000000000000e+00,1.000000000000000000e+00
1.238664999999999905e+00,-3.416259069183335662e+00,-4.133519888890166527e+00,7.959407271174366194e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.242639999999999967e+00,-3.042629642551594848e+00,-4.051997013040167239e+00,2.247415129852504734e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.246572999999999931e+00,-3.460211289592608708e+00,-3.843402159040166577e+00,6.294924616535606532e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.250485999999999986e+00,-3.038609655548004440e+00,-3.843402159040166577e+00,1.233700314732076819e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.254434000000000049e+00,-3.526443613992253034e+00,-3.936906471890166515e+00,8.620535427378556159e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.258361999999999981e+00,-2.877734772452464007e+00,-4.188663961640166633e+00,4.390210006132274856e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.262304000000000093e+00,-2.644797138054758356e+00,-2.961057711640166623e+00,5.579401386240551153e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.266272000000000064e+00,-3.324214539822404113e+00,-3.980069107640166859e+00,6.211111997903504545e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.270219999999999905e+00,-2.904333302728632660e+00,-3.980069107640166859e+00,2.704121126913076978e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.274162999999999935e+00,-3.344968709541751295e+00,-3.562869578790166525e+00,2.253496475669506185e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.278097999999999956e+00,-4.057048790208984457e+00,-4.020825635140166554e+00,3.955896098842488495e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.282043000000000044e+00,-3.113427567067653001e+00,-4.020825635140166554e+00,1.678276078835390450e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.286000999999999950e+00,-3.825534582607879486e+00,-4.752115588690166703e+00,1.521889091735502042e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.289959999999999996e+00,-3.157178846869437727e+00,-3.076148252790166460e+00,3.480119843209256825e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.293905000000000083e+00,-3.341177644912777467e+00,-3.076148252790166460e+00,9.315659558761199222e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.297843000000000080e+00,-3.851564687173893553e+00,-4.322934622840167052e+00,1.328825574303846624e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.301779000000000019e+00,-3.444275876339722764e+00,-4.845619901540167085e+00,4.791644150793747770e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.305708000000000091e+00,-4.168133938214137579e+00,-4.845619901540167085e+00,5.079843708564463434e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.309644000000000030e+00,-3.658399078696898066e+00,-4.059185875240165942e+00,6.604536975794410569e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.313577999999999912e+00,-3.483015366785574329e+00,-4.747323013890166976e+00,3.698227213036859951e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.317533000000000065e+00,-4.142705717542074950e+00,-4.747323013890166976e+00,3.337261637148790427e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.321479999999999988e+00,-3.417821583001790842e+00,-3.469365265940166143e+00,1.397526453521098055e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.325387000000000093e+00,-4.256167387618965847e+00,-5.598486262540165903e+00,3.859928975816338692e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.329312999999999967e+00,-4.144521772821259553e+00,-5.598486262540165903e+00,4.806454401165218115e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.333259999999999890e+00,-3.671603534888934206e+00,-4.442817738790166615e+00,9.206201140704477481e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.337202999999999919e+00,-4.292093297099169646e+00,-3.383049815290166240e+00,5.386863722584747194e+01,0.000000000000000000e+00,1.000000000000000000e+00
